is_sarcastic,headline,article_link
1,thirtysomething scientists unveil doomsday clock of hair loss,https://www.theonion.com/thirtysomething-scientists-unveil-doomsday-clock-of-hai-1819586205
0,dem rep. totally nails why congress is falling short on gun control,https://www.huffingtonpost.com/entry/dem-rep-totally-nails-why_b_9615878
0,eat your veggies 9 delicious recipes to help you do just that,https://www.huffingtonpost.com/entry/eat-your-veggies-9-delici_b_8899742
1,mom starting to fear son's web series closest thing she will have to grandchild,https://www.theonion.com/mom-starting-to-fear-sons-web-series-closest-thing-she-1819576697
1,boehner just wants wife to listen not come up with alternative debt-reduction ideas,https://www.theonion.com/boehner-just-wants-wife-to-listen-not-come-up-with-alt-1819574302
0,j.k. rowling wishes snape happy birthday in the most magical way,https://www.huffingtonpost.com/entry/jk-rowling-wishes-snape-h_b_8386556
0,advancing the world's women 9 amazing projects,https://www.huffingtonpost.com/entry/advancing-the-worlds-wome_b_9021216
1,man on verge of getting everything he wants still finds way to be unhappy,https://www.theonion.com/man-on-verge-of-getting-everything-he-wants-still-find-1819574001
0,former versace store clerk sues over secret 'black code' for minority shoppers,https://www.huffingtonpost.com/entry/versace-black-code_b_8855048
1,area woman never quite right after seeing natalie imbruglia at target,https://www.theonion.com/area-woman-never-quite-right-after-seeing-natalie-imbru-1819574038
0,the 'roseanne' revival catches up to our thorny political mood for better and worse,https://www.huffingtonpost.com/entry/roseanne-revival-review_us_5ab3a497e4b054d118e04365
1,man who laughs at own jokes definitely not invited back,https://www.theonion.com/man-who-laughs-at-own-jokes-definitely-not-invited-back-1819574039
0,science is studying the effect of music on the brain and it is fascinating,https://www.huffingtonpost.com/entry/science-is-studying-the-e_b_9021218
1,nation somehow shocked that internet still full of racists,https://www.theonion.com/nation-somehow-shocked-that-internet-still-full-of-raci-1819574040
0,new study finds that coffee is good for you again,https://www.huffingtonpost.com/entry/new-study-finds-that-coff_b_9021219
1,local man ruins office party by bringing up politics,https://www.theonion.com/local-man-ruins-office-party-by-bringing-up-politics-1819574041
0,how to make the most of your morning routine,https://www.huffingtonpost.com/entry/how-to-make-the-most-of-y_b_9021220
1,area dog not sure what he did to deserve this,https://www.theonion.com/area-dog-not-sure-what-he-did-to-deserve-this-1819574042
0,researchers discover new species of deep sea fish,https://www.huffingtonpost.com/entry/researchers-discover-new-_b_9021221
1,man spends 45 minutes crafting perfect email only to send it to wrong person,https://www.theonion.com/man-spends-45-minutes-crafting-perfect-email-only-to-se-1819574043
